2016-08-22 09:55:20: -- Analysis Started by User
2016-08-22 09:55:27: Changes: 330, Conflicts: 0, CopyTime: 0, CopyState: 0/0, Errors: 0, All: 9024
2016-08-22 09:55:27: Left to Right: Copy File: 330 
2016-08-22 09:55:28: Copy New '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/objects/0b/105a6238df83a8a0cb763924a067aaf534a92a' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/objects/0b/105a6238df83a8a0cb763924a067aaf534a92a'
2016-08-22 09:55:28: Copy New '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/objects/0e/941e73364ccb114df92e056bf72bbd3ddf4b86' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/objects/0e/941e73364ccb114df92e056bf72bbd3ddf4b86'
2016-08-22 09:55:28: Copy New '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/objects/0f/13b22f3080a9863f5d7068a6471534547645cf' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/objects/0f/13b22f3080a9863f5d7068a6471534547645cf'
2016-08-22 09:55:28: Copy New '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/objects/0f/451e362515a981d14099bd1203c6884fa48288' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/objects/0f/451e362515a981d14099bd1203c6884fa48288'
2016-08-22 09:55:28: Copy New '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/objects/0f/65aab523486f2c776c98f42eafb0f85a7e50c5' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/objects/0f/65aab523486f2c776c98f42eafb0f85a7e50c5'
2016-08-22 09:55:28: Copy New '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/objects/0f/c38bec39cad24ab16f64afea59cf6632dd3241' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/objects/0f/c38bec39cad24ab16f64afea59cf6632dd3241'
2016-08-22 09:55:28: Copy New '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/objects/10/06c116de778092de3c7d82811aa2a53cc1ec72' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/objects/10/06c116de778092de3c7d82811aa2a53cc1ec72'
2016-08-22 09:55:28: Copy New '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/objects/11/12fb99a855216d4ade965236bb1813823c1cd1' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/objects/11/12fb99a855216d4ade965236bb1813823c1cd1'
2016-08-22 09:55:28: Copy New '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/objects/11/811088c010187099ade97dd51d28b390136596' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/objects/11/811088c010187099ade97dd51d28b390136596'
2016-08-22 09:55:28: Copy New '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/objects/11/b934af7bf7746e364de8cf45caa77b45d9029e' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/objects/11/b934af7bf7746e364de8cf45caa77b45d9029e'
2016-08-22 09:55:28: Copy New '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/objects/12/53a4fdb491710eeb633875a697e8ebf99c5f14' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/objects/12/53a4fdb491710eeb633875a697e8ebf99c5f14'
2016-08-22 09:55:28: Copy New '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/objects/12/8b2d9d878efddbd077e9e282609bfab16ebf7f' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/objects/12/8b2d9d878efddbd077e9e282609bfab16ebf7f'
2016-08-22 09:55:28: Copy Over '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/objects/13/6291e671f9044ee5e70641cafa30a7806eccbe' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/objects/13/6291e671f9044ee5e70641cafa30a7806eccbe'
2016-08-22 09:55:28: Copy New '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/objects/14/42a01933e1adbd20a7c7304d5a4773f3863090' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/objects/14/42a01933e1adbd20a7c7304d5a4773f3863090'
2016-08-22 09:55:28: Copy Over '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/objects/14/5462c8c6a5572008ba7ebdee54bc478c3589fc' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/objects/14/5462c8c6a5572008ba7ebdee54bc478c3589fc'
2016-08-22 09:55:28: Copy New '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/objects/15/08dd2727809cb26b9c1198e50843bb2b94bcff' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/objects/15/08dd2727809cb26b9c1198e50843bb2b94bcff'
2016-08-22 09:55:28: Copy New '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/objects/16/4dfe8dd82c7200aa3c59b44aed90842ad618c7' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/objects/16/4dfe8dd82c7200aa3c59b44aed90842ad618c7'
2016-08-22 09:55:28: Copy New '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/objects/16/a923d8aefcf0a3d2263d7771e3abcab819cbc0' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/objects/16/a923d8aefcf0a3d2263d7771e3abcab819cbc0'
2016-08-22 09:55:28: Copy New '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/objects/19/84caa9f0670e37c4c24751121d9b3544f5befd' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/objects/19/84caa9f0670e37c4c24751121d9b3544f5befd'
2016-08-22 09:55:28: Copy New '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/objects/19/b74eebc3a0ccf2a3e4ce109b0359f8e0ed2ab4' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/objects/19/b74eebc3a0ccf2a3e4ce109b0359f8e0ed2ab4'
2016-08-22 09:55:28: Copy New '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/objects/19/c5eb4e91ad931eefb733d90c1929fe40d74479' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/objects/19/c5eb4e91ad931eefb733d90c1929fe40d74479'
2016-08-22 09:55:28: Copy New '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/objects/19/e021b7ef25a171512444a98e5657a2099a5822' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/objects/19/e021b7ef25a171512444a98e5657a2099a5822'
2016-08-22 09:55:28: Copy Over '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/objects/1a/64b66538be2c1026d5bec12e6e24fcd5204bad' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/objects/1a/64b66538be2c1026d5bec12e6e24fcd5204bad'
2016-08-22 09:55:28: Copy New '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/objects/1a/989e05f6ca824183293e0537b3728593ad73e3' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/objects/1a/989e05f6ca824183293e0537b3728593ad73e3'
2016-08-22 09:55:28: Copy New '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/objects/20/20c3dc4aeef57e5ac2206008dedabda848edaa' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/objects/20/20c3dc4aeef57e5ac2206008dedabda848edaa'
2016-08-22 09:55:28: Copy New '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/objects/21/aa98e64345da5f6bfcf723e43563d3fe06841c' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/objects/21/aa98e64345da5f6bfcf723e43563d3fe06841c'
2016-08-22 09:55:28: Copy New '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/objects/21/c5a66b7adfcba52d88bb94e231d0ebff22d510' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/objects/21/c5a66b7adfcba52d88bb94e231d0ebff22d510'
2016-08-22 09:55:28: Copy New '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/objects/23/444dd5de8c8eae2b9bc3a1fc614d3e2abe1fe6' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/objects/23/444dd5de8c8eae2b9bc3a1fc614d3e2abe1fe6'
2016-08-22 09:55:28: Copy New '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/objects/23/458561bad413be37599576d9a5d6ce335c17ec' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/objects/23/458561bad413be37599576d9a5d6ce335c17ec'
2016-08-22 09:55:28: Copy Over '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/objects/25/15d8008f66cf05fc8419825465483751b75b6e' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/objects/25/15d8008f66cf05fc8419825465483751b75b6e'
2016-08-22 09:55:28: Copy New '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/objects/25/5fa6d3622992a97a900b311b88b75c1dfe08dd' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/objects/25/5fa6d3622992a97a900b311b88b75c1dfe08dd'
2016-08-22 09:55:28: Copy New '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/objects/26/9e3adea4278b487b7f6f642c9965ace6964dcb' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/objects/26/9e3adea4278b487b7f6f642c9965ace6964dcb'
2016-08-22 09:55:28: Copy New '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/objects/28/abe7e4ce3fd465f40b7bf3e4b6e1bf488e018b' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/objects/28/abe7e4ce3fd465f40b7bf3e4b6e1bf488e018b'
2016-08-22 09:55:28: Copy New '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/objects/28/bb3d465df94593ea2d7f6e63fcebdc3abab7be' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/objects/28/bb3d465df94593ea2d7f6e63fcebdc3abab7be'
2016-08-22 09:55:28: Copy New '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/objects/28/f4e61d06c767342b9b41d975f8d7290aa5479a' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/objects/28/f4e61d06c767342b9b41d975f8d7290aa5479a'
2016-08-22 09:55:28: Copy New '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/objects/29/488bec7590ef5e20827b986f60d43c9f4fa525' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/objects/29/488bec7590ef5e20827b986f60d43c9f4fa525'
2016-08-22 09:55:28: Copy New '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/objects/29/4b91ce59458dd61d0d54cb61a5ad10c4b1a3b9' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/objects/29/4b91ce59458dd61d0d54cb61a5ad10c4b1a3b9'
2016-08-22 09:55:28: Copy Over '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/objects/29/a4137a5376b657365b4ab32eeac2ad3986f404' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/objects/29/a4137a5376b657365b4ab32eeac2ad3986f404'
2016-08-22 09:55:28: Copy New '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/objects/2a/d10f159a33bcdefe27f1a87fb65cc5c2096baf' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/objects/2a/d10f159a33bcdefe27f1a87fb65cc5c2096baf'
2016-08-22 09:55:28: Copy New '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/objects/2c/0e81044357a048e682a00a33fae0a67f22a741' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/objects/2c/0e81044357a048e682a00a33fae0a67f22a741'
2016-08-22 09:55:28: Copy New '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/objects/2c/26d0fa1be26da2e017c0c80a7791b083b4ab5e' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/objects/2c/26d0fa1be26da2e017c0c80a7791b083b4ab5e'
2016-08-22 09:55:28: Copy New '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/objects/2c/775092e8f585a44ec030334bc9ec5b3f8821a7' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/objects/2c/775092e8f585a44ec030334bc9ec5b3f8821a7'
2016-08-22 09:55:28: Copy New '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/objects/2c/9ececa47dfb8df57f9180fd0539a076327138c' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/objects/2c/9ececa47dfb8df57f9180fd0539a076327138c'
2016-08-22 09:55:28: Copy New '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/objects/2c/f7d5c793e1544fa71de1ee35ad1a473de7e369' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/objects/2c/f7d5c793e1544fa71de1ee35ad1a473de7e369'
2016-08-22 09:55:29: Copy New '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/objects/2d/29e26e78cd150b4ff074a65988a99dc89fb69d' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/objects/2d/29e26e78cd150b4ff074a65988a99dc89fb69d'
2016-08-22 09:55:29: Copy New '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/objects/2d/778728d7762206d01ff924fc6d24ccd4a5d7d4' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/objects/2d/778728d7762206d01ff924fc6d24ccd4a5d7d4'
2016-08-22 09:55:29: Copy Over '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/objects/2d/8fa51f461df883569a31e1631f0d39091bda03' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/objects/2d/8fa51f461df883569a31e1631f0d39091bda03'
2016-08-22 09:55:29: Copy New '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/objects/2d/ff507a00ec2dfc6775e4a59c7cae6c0d2efda0' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/objects/2d/ff507a00ec2dfc6775e4a59c7cae6c0d2efda0'
2016-08-22 09:55:29: Copy New '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/objects/30/04c7628a39badb96396490d1c01c6403a710e6' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/objects/30/04c7628a39badb96396490d1c01c6403a710e6'
2016-08-22 09:55:29: Copy New '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/objects/30/232809c7323ba7de496e4d7a87de7ba5113271' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/objects/30/232809c7323ba7de496e4d7a87de7ba5113271'
2016-08-22 09:55:29: Copy New '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/objects/32/3fb4b5f89ee8be09c0559b6fad70f6d1702c81' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/objects/32/3fb4b5f89ee8be09c0559b6fad70f6d1702c81'
2016-08-22 09:55:29: Copy New '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/objects/32/fe5b427bae8d534673d1801881d8204554570b' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/objects/32/fe5b427bae8d534673d1801881d8204554570b'
2016-08-22 09:55:29: Copy New '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/objects/33/1f11c1a2909655b555dc270f61d9ecc7050df7' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/objects/33/1f11c1a2909655b555dc270f61d9ecc7050df7'
2016-08-22 09:55:29: Copy New '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/objects/33/9870ae12169ad7b845e08d892cf21606a2585c' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/objects/33/9870ae12169ad7b845e08d892cf21606a2585c'
2016-08-22 09:55:29: Copy New '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/objects/33/aca6fb1c6e9ed627ee732dbea4842b5cd8f5c3' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/objects/33/aca6fb1c6e9ed627ee732dbea4842b5cd8f5c3'
2016-08-22 09:55:29: Copy New '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/objects/35/87c5361143d939ef2d21db3b0260870163b277' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/objects/35/87c5361143d939ef2d21db3b0260870163b277'
2016-08-22 09:55:29: Copy New '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/objects/35/c582c975b4259ba79b74d2cc3739205c213721' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/objects/35/c582c975b4259ba79b74d2cc3739205c213721'
2016-08-22 09:55:29: Copy New '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/objects/37/49d83d603cb6c35e09c42428e043de4acb9e9c' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/objects/37/49d83d603cb6c35e09c42428e043de4acb9e9c'
2016-08-22 09:55:29: Copy New '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/objects/37/b2e7896439b542381951ae37c95b0025693962' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/objects/37/b2e7896439b542381951ae37c95b0025693962'
2016-08-22 09:55:29: Copy New '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/objects/38/22920adda1780df96dd7117f5ed4729aabe2e1' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/objects/38/22920adda1780df96dd7117f5ed4729aabe2e1'
2016-08-22 09:55:29: Copy New '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/objects/38/3dd5165f8f6e3c72b63ae16f70a74ed95ff42b' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/objects/38/3dd5165f8f6e3c72b63ae16f70a74ed95ff42b'
2016-08-22 09:55:29: Copy New '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/objects/38/8ad45a28c31d506afd9a0045ae54ff2bddeaf3' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/objects/38/8ad45a28c31d506afd9a0045ae54ff2bddeaf3'
2016-08-22 09:55:29: Copy New '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/objects/39/8d6ee8db0cc35ec1202b668993985e5702f199' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/objects/39/8d6ee8db0cc35ec1202b668993985e5702f199'
2016-08-22 09:55:29: Copy Over '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/objects/39/af5a239662d0d9abb1568767558d70cc8938a7' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/objects/39/af5a239662d0d9abb1568767558d70cc8938a7'
2016-08-22 09:55:29: Copy New '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/objects/39/b7c5a8727f726a91be4758928b067548e64003' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/objects/39/b7c5a8727f726a91be4758928b067548e64003'
2016-08-22 09:55:29: Copy New '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/objects/39/bf9a19e22db30904ec98e8df0909e768799b9a' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/objects/39/bf9a19e22db30904ec98e8df0909e768799b9a'
2016-08-22 09:55:29: Copy New '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/objects/3a/985bcb70111dab673b87637a8a39fe9ba42b89' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/objects/3a/985bcb70111dab673b87637a8a39fe9ba42b89'
2016-08-22 09:55:29: Copy New '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/objects/3b/26ae7e7539eef38d4971c44024f4b12547c0cc' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/objects/3b/26ae7e7539eef38d4971c44024f4b12547c0cc'
2016-08-22 09:55:29: Copy New '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/objects/3c/02103ce69556fe0796df78af9abf235e9b46d0' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/objects/3c/02103ce69556fe0796df78af9abf235e9b46d0'
2016-08-22 09:55:29: Copy New '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/objects/3c/2ba7ff6c1e821912ce29a68784d42de68ab64e' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/objects/3c/2ba7ff6c1e821912ce29a68784d42de68ab64e'
2016-08-22 09:55:29: Copy New '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/objects/3d/50c8e549f5f2f631b58baa11d964b6b1606ddc' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/objects/3d/50c8e549f5f2f631b58baa11d964b6b1606ddc'
2016-08-22 09:55:29: Copy New '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/objects/3d/a0dee91f1d0a1f1d0e2972f8d710be67e72208' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/objects/3d/a0dee91f1d0a1f1d0e2972f8d710be67e72208'
2016-08-22 09:55:29: Copy New '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/objects/3d/d2fc209d11cd4c819435696104f5f22768e270' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/objects/3d/d2fc209d11cd4c819435696104f5f22768e270'
2016-08-22 09:55:29: Copy New '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/objects/3e/9e358ceb554cc3151006ef15dcf940b335db89' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/objects/3e/9e358ceb554cc3151006ef15dcf940b335db89'
2016-08-22 09:55:29: Copy New '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/objects/3f/15ebaad581bffa7cb2f38d7e37ff4a7d0387b7' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/objects/3f/15ebaad581bffa7cb2f38d7e37ff4a7d0387b7'
2016-08-22 09:55:29: Copy New '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/objects/40/66f6b451c86a82813106a0fb806ff0d1be3119' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/objects/40/66f6b451c86a82813106a0fb806ff0d1be3119'
2016-08-22 09:55:29: Copy New '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/objects/41/17596c6f1ea30712659094731175417bacb31f' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/objects/41/17596c6f1ea30712659094731175417bacb31f'
2016-08-22 09:55:29: Copy New '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/objects/42/d8710f571a810699b35096623a3bf673c1ca31' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/objects/42/d8710f571a810699b35096623a3bf673c1ca31'
2016-08-22 09:55:29: Copy New '/Volumes/RyanWork/htdocs/vns-bodypaint/.git/objects/44/106a5a9369eda433efef04621bfb81cbfb1f4c' -> '/Volumes/Ryan SSD/htdocs/vns-bodypaint/.git/objects/44/106a5a9369eda433efef04621bfb81cbfb1f4c'
